satd id,satd instance,project,committer name,Commit Hash,old comment,New Comment,resolution,Method Signature,Method Declaration,Method Body
331,-1413930362,apache/log4j,Curtis William Arnold,3d30346f59a79ced396bbcaf6acb3624a7cb27ad,None,"Prevent concurrent re-entry by this thread
(There might be a cheaper way to do this)
(Or maybe this lock is not necessary)",SATD_ADDED,activateOptions(),public void activateOptions(),"
    active.set(true);
"
329,-1413930364,apache/log4j,Curtis William Arnold,c4dfd0d7ef22210c16f2ec7197e5909e52b907c4,None,move the good config file into place,SATD_ADDED,testPropertyConfigurationError(),public void testPropertyConfigurationError() throws Exception,"
    LogManager.getLoggerRepository().resetConfiguration();
    logger.setLevel(Level.DEBUG);
    File outFile = new File(getOutputFile(""test4""));
    if (outFile.exists()) {
        assertTrue(outFile.delete());
    }
    // set up the needed file references
    // need a ""bad"" property file
    // File sourceFile1 = new File(getSourceConfigFile(""test4"", 1));
    File sourceFile2 = new File(getSourceConfigFile(""test2"", 2));
    // assertTrue(sourceFile1.exists());
    assertTrue(sourceFile2.exists());
    // config file should not exist yet
    File configFile = new File(getConfigFile(""test4""));
    assertFalse(configFile.exists());
    // now watch the nonexistent file for changes
    FileWatchdog watchdog = new FileWatchdog();
    watchdog.setName(""test4"");
    watchdog.setFile(configFile.getAbsolutePath());
    watchdog.setInterval(1000);
    watchdog.setConfigurator(PropertyConfigurator.class.getName());
    ((LoggerRepositoryEx) LogManager.getLoggerRepository()).getPluginRegistry().addPlugin(watchdog);
    watchdog.activateOptions();
    testLogger.debug(""watchdog activated"");
    // the file does not exist, so the modification time should never change
    long modTime = watchdog.getLastModTime();
    for (int count = 0; count < 5; count++) {
        if (modTime != watchdog.getLastModTime()) {
            assertTrue(""watchdog mod time changed when no file"", false);
        }
        Thread.sleep(500);
    }
    testLogger.debug(""no file, mod time not changed: "" + modTime);
    /* need a ""bad"" property file
    // move the bad config file into place
    copyFile(sourceFile1, configFile);
    assertTrue(configFile.exists());

    testLogger.debug(""bad config file put into place"");

    // the file is ""bad"", so the modification time should never change
    for (int count = 0; count < 7; count++) {
      if (modTime != watchdog.getLastModTime()) {
        assertTrue(""watchdog mod time changed for bad file"", false);
      }
      Thread.sleep(500);
    }

    testLogger.debug(""bad file, mod time not changed: "" + modTime);
*/
    // move the good config file into place
    copyFile(sourceFile2, configFile);
    assertTrue(configFile.exists());
    testLogger.debug(""moved good config file into place"");
    // the file is good, so the modification time and level should change
    for (int count = 0; count < 7; count++) {
        if (modTime != watchdog.getLastModTime()) {
            assertTrue(logger.getLevel() == Level.INFO);
            break;
        }
        if (count == 6) {
            assertTrue(""mod time for good file never changed"", false);
        }
        Thread.sleep(500);
    }
    testLogger.debug(""good file, modTime changed: "" + modTime);
"
328,-1413930365,apache/log4j,Curtis William Arnold,c4dfd0d7ef22210c16f2ec7197e5909e52b907c4,None,move the good config file into place,SATD_ADDED,testJoranConfigurationError(),public void testJoranConfigurationError() throws Exception,"
    LogManager.getLoggerRepository().resetConfiguration();
    logger.setLevel(Level.DEBUG);
    File outFile = new File(getOutputFile(""test3""));
    if (outFile.exists()) {
        assertTrue(outFile.delete());
    }
    // set up the needed file references
    File sourceFile1 = new File(getSourceXMLConfigFile(""test3"", 1));
    File sourceFile2 = new File(getSourceXMLConfigFile(""test1"", 2));
    assertTrue(sourceFile1.exists());
    assertTrue(sourceFile2.exists());
    // config file should not exist yet
    File configFile = new File(getXMLConfigFile(""test3""));
    assertFalse(configFile.exists());
    // now watch the nonexistent file for changes
    FileWatchdog watchdog = new FileWatchdog();
    watchdog.setName(""test3"");
    watchdog.setFile(configFile.getAbsolutePath());
    watchdog.setInterval(1000);
    watchdog.setConfigurator(JoranConfigurator.class.getName());
    ((LoggerRepositoryEx) LogManager.getLoggerRepository()).getPluginRegistry().addPlugin(watchdog);
    watchdog.activateOptions();
    testLogger.debug(""watchdog activated"");
    // the file does not exist, so the modification time should never change
    long modTime = watchdog.getLastModTime();
    for (int count = 0; count < 5; count++) {
        if (modTime != watchdog.getLastModTime()) {
            assertTrue(""watchdog mod time changed when no file"", false);
        }
        Thread.sleep(500);
    }
    testLogger.debug(""no file, mod time not changed: "" + modTime);
    // move the bad config file into place
    copyFile(sourceFile1, configFile);
    assertTrue(configFile.exists());
    testLogger.debug(""bad config file put into place"");
    // the file is ""bad"", so the modification time should never change
    for (int count = 0; count < 7; count++) {
        if (modTime != watchdog.getLastModTime()) {
            assertTrue(""watchdog mod time changed for bad file"", false);
        }
        Thread.sleep(500);
    }
    testLogger.debug(""bad file, mod time not changed: "" + modTime);
    // move the good config file into place
    copyFile(sourceFile2, configFile);
    assertTrue(configFile.exists());
    testLogger.debug(""moved good config file into place"");
    // the file is good, so the modification time and level should change
    for (int count = 0; count < 7; count++) {
        if (modTime != watchdog.getLastModTime()) {
            assertTrue(logger.getLevel() == Level.INFO);
            break;
        }
        if (count == 6) {
            assertTrue(""mod time for good file never changed"", false);
        }
        Thread.sleep(500);
    }
    testLogger.debug(""good file, modTime changed: "" + modTime);
"
327,-1413930366,apache/log4j,Curtis William Arnold,c4dfd0d7ef22210c16f2ec7197e5909e52b907c4,None,move the bad config file into place,SATD_ADDED,testJoranConfigurationError(),public void testJoranConfigurationError() throws Exception,"
    LogManager.getLoggerRepository().resetConfiguration();
    logger.setLevel(Level.DEBUG);
    File outFile = new File(getOutputFile(""test3""));
    if (outFile.exists()) {
        assertTrue(outFile.delete());
    }
    // set up the needed file references
    File sourceFile1 = new File(getSourceXMLConfigFile(""test3"", 1));
    File sourceFile2 = new File(getSourceXMLConfigFile(""test1"", 2));
    assertTrue(sourceFile1.exists());
    assertTrue(sourceFile2.exists());
    // config file should not exist yet
    File configFile = new File(getXMLConfigFile(""test3""));
    assertFalse(configFile.exists());
    // now watch the nonexistent file for changes
    FileWatchdog watchdog = new FileWatchdog();
    watchdog.setName(""test3"");
    watchdog.setFile(configFile.getAbsolutePath());
    watchdog.setInterval(1000);
    watchdog.setConfigurator(JoranConfigurator.class.getName());
    ((LoggerRepositoryEx) LogManager.getLoggerRepository()).getPluginRegistry().addPlugin(watchdog);
    watchdog.activateOptions();
    testLogger.debug(""watchdog activated"");
    // the file does not exist, so the modification time should never change
    long modTime = watchdog.getLastModTime();
    for (int count = 0; count < 5; count++) {
        if (modTime != watchdog.getLastModTime()) {
            assertTrue(""watchdog mod time changed when no file"", false);
        }
        Thread.sleep(500);
    }
    testLogger.debug(""no file, mod time not changed: "" + modTime);
    // move the bad config file into place
    copyFile(sourceFile1, configFile);
    assertTrue(configFile.exists());
    testLogger.debug(""bad config file put into place"");
    // the file is ""bad"", so the modification time should never change
    for (int count = 0; count < 7; count++) {
        if (modTime != watchdog.getLastModTime()) {
            assertTrue(""watchdog mod time changed for bad file"", false);
        }
        Thread.sleep(500);
    }
    testLogger.debug(""bad file, mod time not changed: "" + modTime);
    // move the good config file into place
    copyFile(sourceFile2, configFile);
    assertTrue(configFile.exists());
    testLogger.debug(""moved good config file into place"");
    // the file is good, so the modification time and level should change
    for (int count = 0; count < 7; count++) {
        if (modTime != watchdog.getLastModTime()) {
            assertTrue(logger.getLevel() == Level.INFO);
            break;
        }
        if (count == 6) {
            assertTrue(""mod time for good file never changed"", false);
        }
        Thread.sleep(500);
    }
    testLogger.debug(""good file, modTime changed: "" + modTime);
"
326,-1413930367,apache/log4j,Mark Dwayne Womack,043ce2af5d6da3989c1eb0a655f139001bd7364f,None,move pointer,SATD_ADDED,addToList(PatternConverter),private void addToList(PatternConverter pc),"
    if (head == null) {
        head = tail = pc;
    } else {
        tail.next = pc;
        tail = pc;
    }
"
325,-1413930368,apache/log4j,Curtis William Arnold,abbd9d3d8b7b16aa02f45679753c1e20886bc49f,None,"
could potentially return a LoggerRepository property value
when there is not an MDC property value
but the negative consequences should be minimal.",SATD_ADDED,getMDC(String),public Object getMDC(final String key),"
    // 
    // could potentially return a LoggerRepository property value
    // when there is not an MDC property value
    // but the negative consequences should be minimal.
    if (properties != null) {
        Object r = properties.get(key);
        if (r != null) {
            return r;
        }
    }
    return MDC.get(key);
"
313,-1413930372,apache/log4j,Curtis William Arnold,532c5ca2102386382f099e4920e93ec9f29f49bb,move pointer,move pointer,CLASS_OR_METHOD_CHANGED,getPatternLayoutRules(),public static Map getPatternLayoutRules(),"
    return PATTERN_LAYOUT_RULES;
"
312,-1413930406,apache/log4j,Curtis William Arnold,200bdbf75b61b68118ab32bd793ef035846b78f5,TODO work out how the Selector has it's AppenderFactory configured by Joran,TODO work out how the Selector has it's AppenderFactory configured by Joran,CLASS_OR_METHOD_CHANGED,activateOptions(),public void activateOptions(),"
    // check that we have a selector of something at this point
    if (getSelector() == null) {
        throw new IllegalStateException(""Should have had a Selector defined at this point"");
    }
// TODO work out how the Selector has it's AppenderFactory configured by Joran
"
298,-1413930531,apache/log4j,Paul Jeffrey Smith,d43f5081fc7c12832d8cd942dae4a6031446d74f,"Failing to reset the object output stream every now and
then creates a serious memory leak.
right now we always reset. TODO - set up frequency counter per oos?","Failing to reset the object output stream every now and
then creates a serious memory leak.
right now we always reset. TODO - set up frequency counter per oos?",CLASS_OR_METHOD_CHANGED,activateOptions(),public void activateOptions(),"
    startServer();
"
279,-1413930531,apache/log4j,Curtis William Arnold,834066bf1a6ebae4fcbf04295d3e80b5f1930410,"Failing to reset the object output stream every now and
then creates a serious memory leak.
right now we always reset. TODO - set up frequency counter per oos?","Failing to reset the object output stream every now and
then creates a serious memory leak.
right now we always reset. TODO - set up frequency counter per oos?",CLASS_OR_METHOD_CHANGED,activate(),public void activate(),"
    startServer();
    super.activate();
"
